index,type,name,resident,streamed,parentStack
21,xmodelmesh,p7_anim_zm_barricade_board_02_lod0491df694,1936,0,|p7_anim_zm_barricade_board_02|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
22,xmodelmesh,p7_anim_zm_barricade_board_03_lod017d3dfbc,1840,0,|p7_anim_zm_barricade_board_03|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
23,xmodelmesh,p7_anim_zm_barricade_board_04_lod0fcb92db7,1456,0,|p7_anim_zm_barricade_board_04|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
24,xmodelmesh,p7_anim_zm_barricade_board_05_lod0c7707369,1680,0,|p7_anim_zm_barricade_board_05|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
25,xmodelmesh,p7_anim_zm_barricade_board_06_lod08f8bba21,1872,0,|p7_anim_zm_barricade_board_06|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
26,xmodelmesh,c_zom_zod_zombie_fem_body1_g_rarmspawn_lod08fd8a2fc,1344,0,|c_zom_zod_zombie_fem_body1_g_rarmspawn|xmodel|c_zom_zod_zombie_body1_gib_def_hat2|scriptbundle|c_zom_zod_zombie2_tie_hat2|character|spawner_zm_zod_zombie2|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
27,xmodelmesh,c_zom_zod_zombie_fem_body1_g_rlegspawn_lod03da2116b,1392,0,|c_zom_zod_zombie_fem_body1_g_rlegspawn|xmodel|c_zom_zod_zombie_body1_gib_def_hat2|scriptbundle|c_zom_zod_zombie2_tie_hat2|character|spawner_zm_zod_zombie2|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
28,xmodelmesh,c_zom_zod_zombie_fem_body1_g_larmspawn_lod0f35667dd,1168,0,|c_zom_zod_zombie_fem_body1_g_larmspawn|xmodel|c_zom_zod_zombie_body1_gib_def_hat2|scriptbundle|c_zom_zod_zombie2_tie_hat2|character|spawner_zm_zod_zombie2|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
29,xmodelmesh,c_zom_zod_zombie_fem_body1_g_llegspawn_lod034c88b59,1360,0,|c_zom_zod_zombie_fem_body1_g_llegspawn|xmodel|c_zom_zod_zombie_body1_gib_def_hat2|scriptbundle|c_zom_zod_zombie2_tie_hat2|character|spawner_zm_zod_zombie2|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
30,xmodelmesh,c_zom_zod_zombie_hat1_skin2_lod7fd23ab08,1152,0,|c_zom_zod_zombie_hat1_skin2|xmodel|c_zom_zod_zombie2_tie_hat1_skin2|character|spawner_zm_zod_zombie2_skin2|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
31,xmodelmesh,c_zom_zod_zombie_body3_skin2_lod7565a3d10,512,9472,|c_zom_zod_zombie_body3_skin2|xmodel|c_zom_zod_zombie3_nohat_skin2|character|spawner_zm_zod_zombie3_skin2|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
32,xmodelmesh,c_zom_zod_zombie_head3_lod7bc13afce,224,4688,|c_zom_zod_zombie_head3|xmodel|c_zom_zod_zombie3_nohat|character|spawner_zm_zod_zombie|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
33,xmodelmesh,c_zom_zod_zombie_hat1_skin1_lod7b74c6a34,1008,0,|c_zom_zod_zombie_hat1_skin1|xmodel|c_zom_zod_zombie2_tie_hat1_skin1|character|spawner_zm_zod_zombie2_skin1|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
34,xmodelmesh,c_zom_zod_zombie_body3_g_upclean_skin1_lod7984eceff,336,5040,|c_zom_zod_zombie_body3_g_upclean_skin1|xmodel|c_zom_zod_zombie3_nohat_skin1|character|spawner_zm_zod_zombie3_skin1|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
35,xmodelmesh,c_zom_zod_zombie_body3_g_rarmoff_skin2_lod7949a2eff,336,5104,|c_zom_zod_zombie_body3_g_rarmoff_skin2|xmodel|c_zom_zod_zombie3_nohat_skin2|character|spawner_zm_zod_zombie3_skin2|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
36,xmodelmesh,c_zom_zod_zombie_body3_g_larmoff_skin2_lod7a1972464,432,5104,|c_zom_zod_zombie_body3_g_larmoff_skin2|xmodel|c_zom_zod_zombie3_nohat_skin2|character|spawner_zm_zod_zombie3_skin2|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
37,xmodelmesh,c_zom_zod_zombie_body1_g_behead_lod78f7c355,1664,0,|c_zom_zod_zombie_body1_g_behead|xmodel|c_zom_zod_zombie2_tie_nohat|character|spawner_zm_zod_zombie2|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
38,xmodelmesh,c_zom_zod_zombie_body1_g_lowclean_skin2_lod72b73a814,432,4912,|c_zom_zod_zombie_body1_g_lowclean_skin2|xmodel|c_zom_zod_zombie2_tie_nohat_skin2|character|spawner_zm_zod_zombie2_skin2|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
39,xmodelmesh,c_zom_zod_zombie_body1_g_rlegoff_skin2_lod7bf4e654b,624,5152,|c_zom_zod_zombie_body1_g_rlegoff_skin2|xmodel|c_zom_zod_zombie2_tie_nohat_skin2|character|spawner_zm_zod_zombie2_skin2|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
40,xmodelmesh,c_zom_zod_zombie_body1_g_llegoff_skin2_lod7e725eb8f,528,4816,|c_zom_zod_zombie_body1_g_llegoff_skin2|xmodel|c_zom_zod_zombie2_tie_nohat_skin2|character|spawner_zm_zod_zombie2_skin2|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
41,xmodelmesh,c_zom_zod_zombie_body1_g_blegsoff_skin2_lod7dd6b067,624,5696,|c_zom_zod_zombie_body1_g_blegsoff_skin2|xmodel|c_zom_zod_zombie2_tie_nohat_skin2|character|spawner_zm_zod_zombie2_skin2|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
42,xmodelmesh,c_zom_zod_zombie_hat2_skin2_lod780d94f63,1056,0,|c_zom_zod_zombie_hat2_skin2|xmodel|c_zom_zod_zombie2_tie_hat2_skin2|character|spawner_zm_zod_zombie2_skin2|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
43,xmodelmesh,c_zom_zod_zombie_body3_g_upclean_skin2_lod7b34938c5,336,5056,|c_zom_zod_zombie_body3_g_upclean_skin2|xmodel|c_zom_zod_zombie3_nohat_skin2|character|spawner_zm_zod_zombie3_skin2|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
44,xmodelmesh,c_zom_zod_zombie_body3_skin1_lod77382dd94,512,9472,|c_zom_zod_zombie_body3_skin1|xmodel|c_zom_zod_zombie3_nohat_skin1|character|spawner_zm_zod_zombie3_skin1|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
45,xmodelmesh,c_zom_zod_zombie_body3_g_rarmoff_skin1_lod7cf6a4781,336,5104,|c_zom_zod_zombie_body3_g_rarmoff_skin1|xmodel|c_zom_zod_zombie3_nohat_skin1|character|spawner_zm_zod_zombie3_skin1|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
46,xmodelmesh,c_zom_zod_zombie_body3_g_larmoff_skin1_lod728f6f64a,432,5104,|c_zom_zod_zombie_body3_g_larmoff_skin1|xmodel|c_zom_zod_zombie3_nohat_skin1|character|spawner_zm_zod_zombie3_skin1|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
47,xmodelmesh,c_zom_zod_zombie_body1_g_lowclean_skin1_lod72b73a814,432,4912,|c_zom_zod_zombie_body1_g_lowclean_skin1|xmodel|c_zom_zod_zombie2_tie_nohat_skin1|character|spawner_zm_zod_zombie2_skin1|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
48,xmodelmesh,c_zom_zod_zombie_body1_g_rlegoff_skin1_lod7b42d8f2b,624,5152,|c_zom_zod_zombie_body1_g_rlegoff_skin1|xmodel|c_zom_zod_zombie2_tie_nohat_skin1|character|spawner_zm_zod_zombie2_skin1|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
49,xmodelmesh,c_zom_zod_zombie_body1_g_llegoff_skin1_lod786361df1,528,4816,|c_zom_zod_zombie_body1_g_llegoff_skin1|xmodel|c_zom_zod_zombie2_tie_nohat_skin1|character|spawner_zm_zod_zombie2_skin1|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
50,xmodelmesh,c_zom_zod_zombie_body1_g_blegsoff_skin1_lod7c4837a79,624,5696,|c_zom_zod_zombie_body1_g_blegsoff_skin1|xmodel|c_zom_zod_zombie2_tie_nohat_skin1|character|spawner_zm_zod_zombie2_skin1|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
51,xmodelmesh,c_zom_zod_zombie_hat2_skin1_lod7606fd007,1008,0,|c_zom_zod_zombie_hat2_skin1|xmodel|c_zom_zod_zombie2_tie_hat2_skin1|character|spawner_zm_zod_zombie2_skin1|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
52,xmodelmesh,c_zom_zod_zombie_body1_skin1_lod76612678f,608,9056,|c_zom_zod_zombie_body1_skin1|xmodel|c_zom_zod_zombie1_hat1_skin2|character|spawner_zm_zod_zombie1_skin2|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
53,xmodelmesh,c_zom_zod_zombie_head1_1_lod7db867701,320,4288,|c_zom_zod_zombie_head1_1|xmodel|c_zom_zod_zombie1_nohat|character|spawner_zm_zod_zombie|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
54,xmodelmesh,c_zom_zod_zombie_body1_g_upclean_lod7e6fec85c,4176,0,|c_zom_zod_zombie_body1_g_upclean|xmodel|c_zom_zod_zombie1_nohat|character|spawner_zm_zod_zombie|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
55,xmodelmesh,c_zom_zod_zombie_body1_g_rarmoff_lod7cb85c995,512,4656,|c_zom_zod_zombie_body1_g_rarmoff|xmodel|c_zom_zod_zombie1_nohat|character|spawner_zm_zod_zombie|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
56,xmodelmesh,c_zom_zod_zombie_body1_g_larmoff_lod712174747,3568,0,|c_zom_zod_zombie_body1_g_larmoff|xmodel|c_zom_zod_zombie1_nohat|character|spawner_zm_zod_zombie|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
57,xmodelmesh,c_zom_zod_zombie_fem_body1_skin1_lod7f6deb397,512,8016,|c_zom_zod_zombie_fem_body1_skin1|xmodel|c_zom_zod_zombie_fem1_hat_skin1|character|spawner_zm_zod_zombief_skin1|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
58,xmodelmesh,c_zom_zod_zombie_fem_head1_lod7c738c310,224,4560,|c_zom_zod_zombie_fem_head1|xmodel|c_zom_zod_zombie_fem1_hat|character|spawner_zm_zod_zombief|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
59,xmodelmesh,c_zom_zod_zombie_fem_body1_g_upclean_skin1_lod7763a4ec,336,4416,|c_zom_zod_zombie_fem_body1_g_upclean_skin1|xmodel|c_zom_zod_zombie_fem1_hat_skin1|character|spawner_zm_zod_zombief_skin1|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
60,xmodelmesh,c_zom_zod_zombie_fem_body1_g_rarmoff_skin1_lod74b441d27,4128,0,|c_zom_zod_zombie_fem_body1_g_rarmoff_skin1|xmodel|c_zom_zod_zombie_fem1_hat_skin1|character|spawner_zm_zod_zombief_skin1|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
61,xmodelmesh,c_zom_zod_zombie_fem_body1_g_larmoff_skin1_lod7da68e5d3,432,4864,|c_zom_zod_zombie_fem_body1_g_larmoff_skin1|xmodel|c_zom_zod_zombie_fem1_hat_skin1|character|spawner_zm_zod_zombief_skin1|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
62,xmodelmesh,c_zom_zod_zombie_fem_body1_g_behead_lod77e236e0b,1616,0,|c_zom_zod_zombie_fem_body1_g_behead|xmodel|c_zom_zod_zombie_fem3_hat|character|spawner_zm_zod_zombief|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
63,xmodelmesh,c_zom_zod_zombie_fem_body1_g_lowclean_skin1_lod754526e74,3696,0,|c_zom_zod_zombie_fem_body1_g_lowclean_skin1|xmodel|c_zom_zod_zombie_fem1_hat_skin1|character|spawner_zm_zod_zombief_skin1|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
64,xmodelmesh,c_zom_zod_zombie_fem_body1_g_rlegoff_skin1_lod7a689366c,4240,0,|c_zom_zod_zombie_fem_body1_g_rlegoff_skin1|xmodel|c_zom_zod_zombie_fem1_hat_skin1|character|spawner_zm_zod_zombief_skin1|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
65,xmodelmesh,c_zom_zod_zombie_fem_body1_g_llegoff_skin1_lod79d531e1f,4144,0,|c_zom_zod_zombie_fem_body1_g_llegoff_skin1|xmodel|c_zom_zod_zombie_fem1_hat_skin1|character|spawner_zm_zod_zombief_skin1|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
66,xmodelmesh,c_zom_zod_zombie_fem_body1_g_blegsoff_skin1_lod7585ef212,528,4400,|c_zom_zod_zombie_fem_body1_g_blegsoff_skin1|xmodel|c_zom_zod_zombie_fem1_hat_skin1|character|spawner_zm_zod_zombief_skin1|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
67,xmodelmesh,c_zom_zod_zombie_fem_hat1_lod759a4b6d8,1808,0,|c_zom_zod_zombie_fem_hat1|xmodel|c_zom_zod_zombie_fem3_hat|character|spawner_zm_zod_zombief|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
68,xmodelmesh,c_zom_zod_zombie_fem_body3_skin1_lod782c8e323,416,7568,|c_zom_zod_zombie_fem_body3_skin1|xmodel|c_zom_zod_zombie_fem3_skin1|character|spawner_zm_zod_zombief_skin1|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
69,xmodelmesh,c_zom_zod_zombie_fem_body3_intestine_lod7267293a9,1568,0,|c_zom_zod_zombie_fem_body3_intestine|xmodel|c_zom_zod_zombie_fem3_hat|character|spawner_zm_zod_zombief|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
70,xmodelmesh,c_zom_zod_zombie_fem_body3_g_upclean_skin1_lod7198d81b8,3984,0,|c_zom_zod_zombie_fem_body3_g_upclean_skin1|xmodel|c_zom_zod_zombie_fem3_skin1|character|spawner_zm_zod_zombief_skin1|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
71,xmodelmesh,c_zom_zod_zombie_fem_body3_g_rarmoff_skin1_lod77bec4ffa,3408,0,|c_zom_zod_zombie_fem_body3_g_rarmoff_skin1|xmodel|c_zom_zod_zombie_fem3_skin1|character|spawner_zm_zod_zombief_skin1|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
72,xmodelmesh,c_zom_zod_zombie_fem_body3_g_larmoff_skin1_lod7f0ae3277,4176,0,|c_zom_zod_zombie_fem_body3_g_larmoff_skin1|xmodel|c_zom_zod_zombie_fem3_skin1|character|spawner_zm_zod_zombief_skin1|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
73,xmodelmesh,c_zom_zod_zombie_fem_body3_g_lowclean_skin1_lod75cb4f80d,4192,0,|c_zom_zod_zombie_fem_body3_g_lowclean_skin1|xmodel|c_zom_zod_zombie_fem3_skin1|character|spawner_zm_zod_zombief_skin1|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
74,xmodelmesh,c_zom_zod_zombie_fem_body3_g_rlegoff_skin1_lod760bbf171,528,4288,|c_zom_zod_zombie_fem_body3_g_rlegoff_skin1|xmodel|c_zom_zod_zombie_fem3_skin1|character|spawner_zm_zod_zombief_skin1|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
75,xmodelmesh,c_zom_zod_zombie_fem_body3_g_llegoff_skin1_lod7645c4890,4320,0,|c_zom_zod_zombie_fem_body3_g_llegoff_skin1|xmodel|c_zom_zod_zombie_fem3_skin1|character|spawner_zm_zod_zombief_skin1|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
76,xmodelmesh,c_zom_zod_zombie_fem_body3_g_blegsoff_skin1_lod74ec0325d,4512,0,|c_zom_zod_zombie_fem_body3_g_blegsoff_skin1|xmodel|c_zom_zod_zombie_fem3_skin1|character|spawner_zm_zod_zombief_skin1|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
77,xmodelmesh,c_zom_zod_zombie_fem_head2_nohair_lod771f4d0d,224,4624,|c_zom_zod_zombie_fem_head2_nohair|xmodel|c_zom_zod_zombie_fem3_skin1|character|spawner_zm_zod_zombief_skin1|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
78,xmodelmesh,c_zom_zod_zombie_fem_body1_lod72c3d2da1,512,8032,|c_zom_zod_zombie_fem_body1|xmodel|c_zom_zod_zombie_fem1_hat|character|spawner_zm_zod_zombief|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
79,xmodelmesh,c_zom_zod_zombie_fem_body1_g_upclean_lod719a0f3be,336,4624,|c_zom_zod_zombie_fem_body1_g_upclean|xmodel|c_zom_zod_zombie_fem1_hat|character|spawner_zm_zod_zombief|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
80,xmodelmesh,c_zom_zod_zombie_fem_body1_g_rarmoff_lod79d7280a3,4128,0,|c_zom_zod_zombie_fem_body1_g_rarmoff|xmodel|c_zom_zod_zombie_fem1_hat|character|spawner_zm_zod_zombief|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
81,xmodelmesh,c_zom_zod_zombie_fem_body1_g_larmoff_lod73472fb61,432,4864,|c_zom_zod_zombie_fem_body1_g_larmoff|xmodel|c_zom_zod_zombie_fem1_hat|character|spawner_zm_zod_zombief|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
82,xmodelmesh,c_zom_zod_zombie_fem_body1_g_lowclean_lod7b47fb117,3680,0,|c_zom_zod_zombie_fem_body1_g_lowclean|xmodel|c_zom_zod_zombie_fem1_hat|character|spawner_zm_zod_zombief|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
83,xmodelmesh,c_zom_zod_zombie_fem_body1_g_rlegoff_lod7591d7722,4240,0,|c_zom_zod_zombie_fem_body1_g_rlegoff|xmodel|c_zom_zod_zombie_fem1_hat|character|spawner_zm_zod_zombief|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
84,xmodelmesh,c_zom_zod_zombie_fem_body1_g_llegoff_lod77c796ec0,4144,0,|c_zom_zod_zombie_fem_body1_g_llegoff|xmodel|c_zom_zod_zombie_fem1_hat|character|spawner_zm_zod_zombief|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
85,xmodelmesh,c_zom_zod_zombie_fem_body1_g_blegsoff_lod7f22bb95a,528,4400,|c_zom_zod_zombie_fem_body1_g_blegsoff|xmodel|c_zom_zod_zombie_fem1_hat|character|spawner_zm_zod_zombief|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
86,xmodelmesh,c_zom_zod_zombie_fem_body3_lod7770b7777,416,7568,|c_zom_zod_zombie_fem_body3|xmodel|c_zom_zod_zombie_fem3_hat|character|spawner_zm_zod_zombief|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
87,xmodelmesh,c_zom_zod_zombie_fem_head2_lod7d92abd6,224,4544,|c_zom_zod_zombie_fem_head2|xmodel|c_zom_zod_zombie_fem3_hat|character|spawner_zm_zod_zombief|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
88,xmodelmesh,c_zom_zod_zombie_fem_body3_g_upclean_lod72c60b5ff,4064,0,|c_zom_zod_zombie_fem_body3_g_upclean|xmodel|c_zom_zod_zombie_fem3_hat|character|spawner_zm_zod_zombief|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
89,xmodelmesh,c_zom_zod_zombie_fem_body3_g_rarmoff_lod773259f57,3408,0,|c_zom_zod_zombie_fem_body3_g_rarmoff|xmodel|c_zom_zod_zombie_fem3_hat|character|spawner_zm_zod_zombief|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
90,xmodelmesh,c_zom_zod_zombie_fem_body3_g_larmoff_lod7a887a3b2,4176,0,|c_zom_zod_zombie_fem_body3_g_larmoff|xmodel|c_zom_zod_zombie_fem3_hat|character|spawner_zm_zod_zombief|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
91,xmodelmesh,c_zom_zod_zombie_fem_body3_g_lowclean_lod770d08ebe,4192,0,|c_zom_zod_zombie_fem_body3_g_lowclean|xmodel|c_zom_zod_zombie_fem3_hat|character|spawner_zm_zod_zombief|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
92,xmodelmesh,c_zom_zod_zombie_fem_body3_g_rlegoff_lod780e1123,528,4352,|c_zom_zod_zombie_fem_body3_g_rlegoff|xmodel|c_zom_zod_zombie_fem3_hat|character|spawner_zm_zod_zombief|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
93,xmodelmesh,c_zom_zod_zombie_fem_body3_g_llegoff_lod717e8f31,4320,0,|c_zom_zod_zombie_fem_body3_g_llegoff|xmodel|c_zom_zod_zombie_fem3_hat|character|spawner_zm_zod_zombief|aitype|maps/zm/zm_countryside.d3dbsp|col_map|zone_source/zm_countryside.zone|csv
